TICKER;PRECO;DY;P/L;P/VP;P/ATIVOS;MARGEM BRUTA;MARGEM EBIT;MARG. LIQUIDA;P/EBIT;EV/EBIT;DIVIDA LIQUIDA / EBIT;DIV. LIQ. / PATRI.;PSR;P/CAP. GIRO;P. AT CIR. LIQ.;LIQ. CORRENTE;ROE;ROA;ROIC;PATRIMONIO / ATIVOS;PASSIVOS / ATIVOS;GIRO ATIVOS;CAGR RECEITAS 5 ANOS;CAGR LUCROS 5 ANOS; LIQUIDEZ MEDIA DIARIA; VPA; LPA; PEG Ratio; VALOR DE MERCADO
AALR3;23,16;;-11,07;3,02;1,07;30,83;-1,55;-22,50;-160,99;-211,33;-50,55;0,95;2,49;-10,96;-1,28;0,63;-27,28;-9,62;-1,08;0,35;0,63;0,43;0,13;;5.600.469,79;7,67;-2,09;-0,02;2.736.112.834,08
ABCB4;18,33;5,91;5,07;0,78;0,08;32,56;26,15;18,94;3,68;3,67;;;0,96;6,43;-0,08;1,39;15,40;1,53;;0,10;0,90;0,08;18,70;13,83;17.837.124,90;23,46;3,61;0,17;4.137.449.159,40
ABEV3;15,10;5,05;16,13;2,80;1,76;49,71;22,46;18,03;12,95;12,46;-0,48;-0,10;2,91;-937,69;-2,38;0,99;17,35;10,88;19,66;0,63;0,36;0,60;10,72;15,19;330.758.159,45;5,40;0,94;1,69;237.725.344.255,56
ADHM3;1,56;;-4,09;-1,29;105,12;100,00;-13.548,48;-18.860,61;-5,69;-5,69;0,00;;770,90;-1,43;-116,16;0,00;-31,47;-2.571,90;22,61;-81,72;82,72;0,14;;;;-1,21;-0,38;-0,58;25.439.770,20
AERI3;1,54;;-10,16;1,37;0,36;13,11;9,22;-4,20;4,63;8,50;3,87;1,14;0,43;1,17;-0,98;1,93;-13,47;-3,53;8,73;0,26;0,74;0,84;;;7.581.450,76;1,13;-0,15;0,03;1.179.968.722,24
AESB3;12,47;0,86;59,31;1,71;0,37;33,16;25,99;4,28;9,77;20,04;10,29;1,79;2,54;2,32;-0,50;2,80;2,88;0,63;3,84;0,22;0,72;0,15;;;31.048.804,28;7,31;0,21;;7.487.975.748,84
AFLT3;9,54;2,75;15,35;2,22;1,95;59,73;49,97;48,96;15,03;14,56;-0,47;-0,07;7,51;10,34;-2,59;4,34;14,46;12,72;13,28;0,88;0,12;0,26;24,96;25,66;6.806,10;4,30;0,62;-0,25;601.828.038,00
AGRO3;23,05;14,05;41,44;1,16;0,71;14,46;5,37;4,93;37,99;48,54;10,60;0,32;2,04;3,12;-1,20;2,25;2,79;1,71;1,65;0,61;0,39;0,35;59,78;15,83;9.533.224,17;19,91;0,56;-0,45;2.356.718.724,16
AGXY3;6,14;0,65;23,79;0,73;0,09;13,59;5,16;0,39;1,81;3,90;2,09;0,84;0,09;1,20;-0,60;1,10;3,06;0,40;15,79;0,13;0,87;1,01;;;578.179,72;8,45;0,26;-0,47;1.048.865.432,46
AHEB3;22,10;;2,87;26,07;0,52;40,25;24,45;15,94;1,87;1,47;-0,40;-5,56;0,46;5,06;-0,88;1,34;908,67;18,19;692,14;0,02;0,98;1,14;20,77;;2.105,00;0,85;7,70;-0,01;188.330.396,20
AHEB5;18,50;;2,40;21,82;0,44;40,25;24,45;15,94;1,57;1,47;-0,40;-5,56;0,38;4,24;-0,74;1,34;908,67;18,19;692,14;0,02;0,98;1,14;20,77;;4.426,00;0,85;7,70;-0,01;188.330.396,20
AHEB6;21,00;;2,73;24,77;0,50;40,25;24,45;15,94;1,78;1,47;-0,40;-5,56;0,43;4,81;-0,84;1,34;908,67;18,19;692,14;0,02;0,98;1,14;20,77;;2.100,00;0,85;7,70;-0,01;188.330.396,20
ALLD3;7,30;4,85;9,72;0,45;0,18;14,74;3,78;1,37;3,51;5,22;1,72;0,22;0,13;0,64;-0,62;1,70;4,62;1,90;7,70;0,41;0,59;1,39;14,71;29,93;583.691,79;16,26;0,75;-0,13;677.713.631,14
ALPA3;11,22;;-69,03;1,39;0,94;45,10;-3,22;-2,67;-57,26;-63,12;-6,73;0,16;1,84;3,90;-1,58;2,50;-2,01;-1,37;-2,56;0,68;0,32;0,51;2,36;;134.278,00;8,07;-0,16;0,58;7.547.150.609,62
ALPA4;10,92;;-67,19;1,35;0,92;45,10;-3,22;-2,67;-55,73;-63,12;-6,73;0,16;1,79;3,79;-1,54;2,50;-2,01;-1,37;-2,56;0,68;0,32;0,51;2,36;;90.286.448,28;8,07;-0,16;0,57;7.547.150.609,62
ALPK3;3,77;;-5,43;2,11;0,30;29,35;8,26;-12,67;8,33;20,87;12,49;3,17;0,69;-3,16;-0,36;0,63;-38,84;-5,49;4,79;0,14;0,86;0,43;3,17;;2.501.492,69;1,79;-0,69;0,20;812.676.522,17
ALSC3;27,75;;38,57;2,20;1,20;75,71;65,32;27,78;16,41;14,85;-1,56;-0,21;10,72;9,41;-1,43;5,39;5,69;3,12;11,21;0,55;0,44;0,11;2,54;19,34;;12,64;0,72;0,58;5.694.242.307,75
ALSO3;22,79;2,28;4,25;0,89;0,46;111,74;384,80;209,84;2,32;1,94;-0,38;-0,14;8,93;8,55;-0,51;1,93;20,82;10,71;25,62;0,51;0,45;0,05;25,65;85,92;112.194.264,93;25,74;5,36;0,00;13.068.543.417,93
ALUP11;29,74;5,25;12,62;1,26;0,32;79,84;71,68;20,19;3,55;7,05;3,50;1,24;2,55;3,03;-0,39;2,15;10,00;2,51;10,38;0,25;0,62;0,12;20,04;16,77;26.538.223,72;23,57;2,36;-0,31;9.057.424.640,96
ALUP3;9,89;5,26;12,59;1,26;0,32;79,84;71,68;20,19;3,55;7,05;3,50;1,24;2,54;3,02;-0,39;2,15;10,00;2,51;10,38;0,25;0,62;0,12;20,04;16,77;130.054,28;7,86;0,79;-0,31;9.057.424.640,96
ALUP4;9,94;5,23;12,65;1,27;0,32;79,84;71,68;20,19;3,56;7,05;3,50;1,24;2,55;3,04;-0,39;2,15;10,00;2,51;10,38;0,25;0,62;0,12;20,04;16,77;205.518,45;7,86;0,79;-0,31;9.057.424.640,96
AMAR3;0,80;;-0,59;0,74;0,09;38,66;-8,56;-16,96;-1,17;-6,37;-5,21;3,30;0,10;-19,94;-0,18;0,99;-125,64;-15,90;-16,04;0,13;0,87;0,94;-0,89;;3.480.576,07;1,07;-1,35;0,00;270.845.900,48
AMBP3;20,99;0,64;-28,97;1,97;0,23;22,22;15,80;-1,96;3,60;9,63;6,03;3,29;0,57;0,79;-0,41;2,85;-6,78;-0,79;6,58;0,12;0,83;0,40;83,52;;28.107.125,00;10,68;-0,72;0,19;2.369.388.636,24
AMER3;1,09;;22,94;0,07;0,02;30,68;4,18;0,15;0,84;8,48;7,64;0,59;0,04;0,11;-0,04;1,84;0,28;0,10;1,24;0,35;0,65;0,65;21,42;;15.167.158,14;16,74;0,05;-0,60;983.757.158,27
ANDG3B;28,82;;59,95;2,23;1,88;47,12;179,06;45,82;15,34;8,60;0,93;0,13;27,47;-25,32;-1,93;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;-0,78;1.651.867.985,68
ANDG4B;0,00;;0,00;0,00;0,00;47,12;179,06;45,82;0,00;8,60;0,93;0,13;0,00;0,00;0,00;0,26;3,71;3,14;12,68;0,85;0,15;0,07;10,22;-38,09;;12,94;0,48;0,00;1.651.867.985,68
ANIM3;3,89;;-17,58;0,59;0,15;58,09;9,68;-2,47;4,49;16,52;12,04;1,57;0,43;-35,44;-0,19;0,98;-3,34;-0,85;-0,86;0,25;0,70;0,34;27,79;;31.224.085,52;6,63;-0,22;0,29;1.567.010.963,40
APER3;28,05;1,15;14,98;0,69;0,43;100,00;6,80;8,34;18,39;12,30;-6,08;-0,23;1,25;9,58;-0,56;1,23;4,59;2,84;0,49;0,62;0,38;0,34;22,90;;1.394.619,38;40,76;1,87;0,04;322.017.758,70
APTI3;197,64;;-0,14;0,02;0,01;94,24;-93,35;-57,25;-0,09;-0,87;0,20;-0,04;0,08;0,03;-0,01;4,49;-12,62;-5,31;-23,70;0,42;0,58;0,09;4,07;;;10.896,15;-1.375,05;0,00;44.442.750,00
APTI4;3.500,00;;-2,55;0,32;0,14;94,24;-93,35;-57,25;-1,56;-0,87;0,20;-0,04;1,46;0,45;-0,22;4,49;-12,62;-5,31;-23,70;0,42;0,58;0,09;4,07;;;10.896,15;-1.375,05;-0,02;44.442.750,00
ARML3;15,50;2,10;36,52;4,71;1,43;47,15;33,52;14,01;15,27;18,95;3,80;1,17;5,12;6,58;-2,14;2,85;12,88;3,90;10,05;0,30;0,70;0,28;;;8.320.476,31;3,29;0,42;0,42;5.321.726.710,58
ARZZ3;79,24;1,74;22,56;3,24;1,71;53,67;11,17;8,82;17,81;18,37;0,56;0,10;1,99;7,98;-3,60;1,69;14,35;7,60;12,76;0,53;0,47;0,86;25,49;20,34;118.670.823,38;24,48;3,51;-1,87;8.793.674.791,38
ASAI3;13,42;0,65;16,81;4,55;0,46;16,44;5,06;1,85;6,16;9,13;2,97;2,20;0,31;-6,15;-0,68;0,81;27,09;2,76;17,32;0,10;0,90;1,49;;;273.839.881,34;2,95;0,80;-0,53;18.120.442.176,32
ATMP3;1,22;;0,07;-0,09;0,02;-18,34;-59,63;90,26;-0,10;-0,98;-0,88;;0,06;-0,04;-0,03;0,30;-136,72;28,97;-960,15;-0,21;1,21;0,32;-16,95;;82.543,17;-13,18;18,02;0,00;32.586.634,32
ATOM3;2,44;13,13;14,92;2,31;1,53;95,46;9,52;13,01;20,39;11,30;-9,17;-1,04;1,94;1,78;-84,92;8,27;15,51;10,28;8,72;0,66;0,34;0,79;;-0,86;48.351,45;1,05;0,16;-0,24;58.322.000,10
AURA33;36,01;4,05;10,81;1,52;0,69;29,13;18,95;12,11;6,91;8,24;1,33;0,29;1,31;9,14;-1,00;1,31;14,04;6,34;10,50;0,45;0,55;0,52;32,13;65,98;3.371.395,90;23,73;3,33;-0,24;2.548.143.409,20
AURE3;14,23;10,54;4,89;0,92;0,42;20,65;26,42;50,32;9,31;11,12;1,81;0,18;2,46;4,98;-0,53;1,71;18,80;8,64;5,09;0,46;0,54;0,17;;;58.823.709,24;15,48;2,91;0,00;14.240.000.000,00
AVLL3;4,16;;-0,31;-0,26;0,07;20,13;-43,86;-115,00;-0,82;-7,07;-6,26;;0,36;-0,19;-0,11;0,52;-84,62;-21,97;-25,44;-0,26;1,26;0,19;19,61;;43.318,00;-15,82;-13,38;0,11;119.039.286,08
AZEV3;1,88;;-1,30;1,89;0,25;5,39;-27,08;-23,84;-1,14;-1,57;-0,44;0,72;0,31;-2,43;-0,40;0,79;-145,28;-19,22;-127,04;0,13;0,87;0,81;43,23;;230.088,10;1,00;-1,45;0,00;144.327.477,03
AZEV4;1,88;;-1,30;1,89;0,25;5,39;-27,08;-23,84;-1,14;-1,57;-0,44;0,72;0,31;-2,43;-0,40;0,79;-145,28;-19,22;-127,04;0,13;0,87;0,81;43,23;;975.532,34;1,00;-1,45;0,00;144.327.477,03
AZUL4;19,17;;-5,88;-1,23;1,39;18,55;10,14;-23,94;13,87;16,81;12,98;;1,41;-2,03;-1,80;0,25;-20,92;-23,71;51,12;-1,13;2,13;0,99;15,41;;248.671.184,79;-15,60;-3,26;0,01;6.702.665.064,97
B3SA3;15,01;2,66;20,72;4,25;1,91;87,65;53,51;40,97;15,87;15,38;-0,45;-0,12;8,49;10,70;-2,89;2,10;20,51;9,20;12,69;0,45;0,55;0,22;22,44;26,59;556.919.911,93;3,53;0,72;-2,72;87.168.620.000,00
BAHI3;8,95;;-1,97;3,92;0,34;40,32;-13,57;-30,21;-4,38;-7,89;-3,63;3,25;0,59;-0,96;-0,35;0,10;-199,55;-17,04;-23,10;0,09;0,89;0,56;56,84;;38.898,04;2,28;-4,55;-0,02;208.149.176,04
BALM3;10,75;2,01;23,64;0,76;0,42;58,92;10,88;2,64;5,73;4,23;-1,24;-0,17;0,62;0,95;-1,42;2,71;3,22;1,79;8,10;0,56;0,44;0,68;8,44;45,86;1.716,50;14,10;0,45;-0,36;100.695.000,00
BALM4;9,80;2,20;21,55;0,69;0,39;58,92;10,88;2,64;5,22;4,23;-1,24;-0,17;0,57;0,87;-1,30;2,71;3,22;1,79;8,10;0,56;0,44;0,68;8,44;45,86;5.114,00;14,10;0,45;-0,33;100.695.000,00
BAUH4;71,50;1,69;-639,36;3,95;2,33;22,37;4,77;-0,29;38,92;37,28;-1,64;-0,17;1,86;30,44;-4,23;1,20;-0,62;-0,36;-0,28;0,59;0,41;1,25;3,33;;68.222,00;18,08;-0,11;5,89;373.388.873,00
BAZA3;68,63;7,77;3,23;0,75;0,10;32,67;59,58;34,28;1,86;1,86;;;1,11;3,13;-0,10;;23,12;3,13;;0,14;0,86;0,09;17,64;79,20;223.103,04;91,98;21,27;0,08;3.847.282.158,45
BBAS3;49,37;9,64;4,40;0,87;0,07;31,57;16,70;12,67;3,34;3,32;;;0,56;2,82;-0,07;11,25;19,71;1,54;;0,08;0,92;0,12;9,97;24,79;564.516.849,41;56,97;11,23;0,06;140.949.863.213,80
BBDC3;14,65;6,25;8,03;0,96;0,09;33,70;9,42;9,10;7,76;8,33;;;0,73;0,96;-0,10;7,18;11,95;1,06;;0,09;0,91;0,12;8,37;2,59;95.351.808,10;15,27;1,83;-0,60;167.433.988.903,17
BBDC4;16,88;5,97;9,25;1,11;0,10;33,70;9,42;9,10;8,94;8,33;;;0,84;1,11;-0,11;7,18;11,95;1,06;;0,09;0,91;0,12;8,37;2,59;728.627.372,72;15,27;1,83;-0,69;167.433.988.903,17
BBML3;3.936,42;;2.618,85;4.008,09;151,13;7,35;2,47;3,66;3.879,11;3.889,81;10,70;11,06;95,84;-1.035,29;-239,81;0,72;153,05;5,77;6,94;0,04;0,96;1,58;41,29;81,57;;0,98;1,50;-2,25;160.451.699.191,56
BBSE3;31,03;9,39;9,27;6,18;4,31;;;;8,03;8,01;;;;33,84;-5,92;1,88;66,67;46,52;;0,70;0,30;0,00;;10,59;203.018.491,03;5,02;3,35;0,15;61.900.000.000,00
BDLL3;12,98;;0,31;-0,17;0,03;-63,95;-72,75;210,54;-0,90;-7,91;-7,13;;0,66;3,47;-0,06;1,02;-53,69;10,03;-282,33;-0,19;1,19;0,05;-27,58;;2.945,33;-77,32;41,51;0,00;17.908.712,96
BDLL4;10,10;;0,24;-0,13;0,02;-63,95;-72,75;210,54;-0,70;-7,91;-7,13;;0,51;2,70;-0,05;1,02;-53,69;10,03;-282,33;-0,19;1,19;0,05;-27,58;;4.035,36;-77,32;41,51;0,00;17.908.712,96
BEEF11;3,62;;3,34;4,12;0,11;18,80;7,54;2,18;0,97;6,29;3,39;14,44;0,07;0,44;-0,26;1,73;123,29;3,25;14,93;0,03;0,95;1,49;20,68;;;0,88;1,08;0,07;6.589.024.965,95
BEEF3;10,82;5,32;9,99;12,32;0,32;18,80;7,54;2,18;2,89;6,29;3,39;14,44;0,22;1,30;-0,79;1,73;123,29;3,25;14,93;0,03;0,95;1,49;20,68;;110.922.313,07;0,88;1,08;0,22;6.589.024.965,95
BEES3;8,76;6,77;8,68;1,38;0,07;25,36;8,87;6,32;6,18;6,79;;;0,55;0,90;-0,08;;15,94;0,86;;0,05;0,95;0,14;12,53;13,77;167.701,72;6,34;1,01;0,48;3.039.947.674,20
BEES4;11,96;4,96;11,84;1,89;0,10;25,36;8,87;6,32;8,44;6,79;;;0,75;1,23;-0,11;;15,94;0,86;;0,05;0,95;0,14;12,53;13,77;62.974,79;6,34;1,01;0,66;3.039.947.674,20
BFRE11;0,00;;0,00;0,00;0,00;28,71;155,42;126,39;0,00;;;;0,00;0,00;0,00;;8,02;7,27;;0,91;0,08;0,06;;9,03;;289.527,20;23.221,76;0,00;
BFRE12;0,00;;0,00;0,00;0,00;28,71;155,42;126,39;0,00;;;;0,00;0,00;0,00;;8,02;7,27;;0,91;0,08;0,06;;9,03;;289.527,20;23.221,76;0,00;
BGIP3;26,77;8,38;5,30;0,67;0,05;36,51;9,69;6,78;3,71;3,38;;;0,36;-0,55;-0,11;0,86;12,68;0,91;;0,07;0,93;0,13;8,79;-2,05;4.371,20;39,86;5,05;0,70;372.726.919,65
BGIP4;22,00;11,22;4,35;0,55;0,04;36,51;9,69;6,78;3,05;3,38;;;0,30;-0,46;-0,09;0,86;12,68;0,91;;0,07;0,93;0,13;8,79;-2,05;18.005,88;39,86;5,05;0,57;372.726.919,65
BIDI11;10,40;;-238,07;1,08;0,23;50,04;-13,62;-5,22;-91,21;-91,21;;;12,42;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;189.680.308,83;9,67;-0,04;0,13;8.991.139.764,53
BIDI3;3,40;;-233,49;1,06;0,23;50,04;-13,62;-5,22;-89,46;-91,21;;;12,19;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;9.796.295,50;3,22;-0,01;0,12;8.991.139.764,53
BIDI4;3,41;;-234,18;1,06;0,23;50,04;-13,62;-5,22;-89,72;-91,21;;;12,22;;-0,24;;-0,45;-0,10;;0,22;0,78;0,02;5,80;;44.223.197,08;3,22;-0,01;0,12;8.991.139.764,53
BIOM3;5,77;;-5,07;3,32;1,25;17,20;-70,48;-81,33;-5,85;-7,08;-1,23;0,70;4,12;4,83;-2,14;2,64;-65,57;-24,62;-26,31;0,38;0,62;0,30;299,61;;89.677,62;1,74;-1,14;-0,38;469.030.744,48
BLAU3;21,77;3,40;11,06;2,12;1,56;45,40;29,09;26,13;9,93;9,19;-0,77;-0,17;2,89;3,04;-4,48;4,71;19,22;14,10;13,67;0,73;0,27;0,54;;;7.656.731,90;10,25;1,97;0,63;3.917.963.627,76
BLUT3;5,14;;-5,63;0,46;0,14;;;;-6,17;-4,91;-1,59;0,12;;-1,08;-0,14;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;254.063,54;11,21;-0,91;0,20;14.115.600,06
BLUT4;1,52;;-1,66;0,14;0,04;;;;-1,82;-4,91;-1,59;0,12;;-0,32;-0,04;0,00;-8,15;-2,46;-6,65;0,30;0,70;0,00;;;224.305,00;11,21;-0,91;0,06;14.115.600,06
BMEB3;11,10;4,44;5,79;0,87;0,07;53,09;6,58;5,13;4,51;4,35;;;0,30;0,95;-0,08;;14,97;1,25;;0,08;0,91;0,24;5,94;22,60;8.390,50;12,81;1,92;1,13;1.121.177.393,48
BMEB4;10,03;5,40;5,23;0,78;0,07;53,09;6,58;5,13;4,07;4,35;;;0,27;0,86;-0,07;;14,97;1,25;;0,08;0,91;0,24;5,94;22,60;63.952,10;12,81;1,92;1,02;1.121.177.393,48
BMGB4;2,69;14,32;17,13;0,39;0,04;42,22;-3,14;1,34;-7,28;-7,31;;;0,23;;-0,04;;2,25;0,21;;0,09;0,91;0,16;19,34;49,35;1.564.355,00;6,99;0,16;-0,32;1.574.727.509,70
BMIN3;19,51;6,19;9,90;0,71;0,39;56,67;29,74;22,86;7,61;7,27;;;2,26;62,84;-0,39;;7,14;3,94;;0,55;0,45;0,17;16,78;;8.016,80;27,60;1,97;0,09;89.935.605,44
BMIN4;13,63;8,86;6,92;0,49;0,27;56,67;29,74;22,86;5,32;7,27;;;1,58;43,90;-0,27;;7,14;3,94;;0,55;0,45;0,17;16,78;;6.363,85;27,60;1,97;0,06;89.935.605,44
BMKS3;329,99;17,51;5,36;0,73;0,64;26,12;56,71;145,00;13,69;-2,88;-16,57;-0,88;7,77;0,82;-3,79;16,08;13,65;11,96;1,91;0,88;0,12;0,08;2,51;28,40;7.380,07;451,46;61,61;0,03;150.062.952,50
BMOB3;14,58;1,53;16,24;1,24;0,98;22,82;7,07;5,77;13,27;7,51;-5,75;-0,54;0,94;2,08;-2,85;3,56;7,66;6,04;4,49;0,79;0,21;1,05;;;5.616.013,59;11,73;0,90;-15,68;1.324.545.470,44
